# Globals the offline client-boot harness does not model, read at load by the
# shipped graph of each flavor. tools/tests/client_boot_smoke.lua diffs the
# live set against this file: a global that appears here is a reviewed read,
# a new one fails the smoke, and a row nothing reads any more fails it too.
#
# Flavors: * means every flavor the matrix plus WoW Forever covers; otherwise a
# comma-separated subset. Kind groups the rows: unit, api, namespace, constant,
# table and secret are Blizzard surfaces the harness answers with a permissive
# stub; frame is a Blizzard UI frame; thirdparty is an addon MSUF detects;
# defect marks a read that is a bug in the addon, reported and not fixed here.
Global	Flavors	Kind	Reason
UnitCastingDuration	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitCastingInfo	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitChannelDuration	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitChannelInfo	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitClassification	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitDetailedThreatSituation	Vanilla,TBC,Forever	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitEffectiveLevel	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitFullName	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitGetDetailedHealPrediction	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitGetIncomingHeals	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitGetTotalAbsorbs	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitGetTotalHealAbsorbs	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitGroupRolesAssigned	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitHasIncomingResurrection	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitHasPowerType	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitHasVehicleUI	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitHealth	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitHealthMax	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitHealthMissing	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitHealthPercent	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitInRaid	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitInRange	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsAFK	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsBossMob	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsConnected	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsDND	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsDead	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsDeadOrGhost	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsEnemy	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsFriend	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsGhost	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsGroupAssistant	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsGroupLeader	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsLieutenant	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsMercenary	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsPVP	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsPVPFreeForAll	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsPlayer	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsTapDenied	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsUnconscious	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitIsVisible	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitPartialPower	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitPhaseReason	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitPlayerControlled	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitPlayerOrPetInParty	Vanilla,Mists,TBC	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitPlayerOrPetInRaid	Vanilla,Mists,TBC	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitPower	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitPowerDisplayMod	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitPowerMax	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitPowerPercent	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitPowerType	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitRace	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitReaction	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitSelectionColor	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitSelectionType	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitShouldDisplaySpellTargetName	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitSpellTargetClass	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitSpellTargetName	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitStagger	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitThreatSituation	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnitWatchRegistered	*	unit	Blizzard unit-state API; the harness answers it with a stub instead of a live unit
UnregisterStateDriver	*	api	Blizzard client API the harness does not model
_ECME_GetBarFrame	*	thirdparty	third-party addon global MSUF probes to detect that addon
canaccesstable	*	secret	12.x secret-value API the harness does not model
hasanysecretvalues	*	secret	12.x secret-value API the harness does not model
hash_SlashCmdList	*	table	Blizzard slash-token hash; MSUF probes it before claiming /rl
issecure	*	secret	12.x secret-value API the harness does not model
